FID,COUNT,SCIENTIFIC,COMMON_NAM
562,4,Botaurus poiciloptilus,Australasian Bittern
562,4,Numenius madagascariensis,Eastern Curlew
562,4,Pedionomus torquatus,Plains-wanderer
562,4,Litoria raniformis,Growling Grass Frog
563,4,Botaurus poiciloptilus,Australasian Bittern
563,4,Numenius madagascariensis,Eastern Curlew
563,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
563,4,Litoria raniformis,Growling Grass Frog
564,4,Botaurus poiciloptilus,Australasian Bittern
564,4,Numenius madagascariensis,Eastern Curlew
564,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
564,4,Neophema chrysogaster,Orange-bellied Parrot
565,4,Botaurus poiciloptilus,Australasian Bittern
565,4,Numenius madagascariensis,Eastern Curlew
565,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
565,4,Neophoca cinerea,Australian Sea-lion
566,4,Botaurus poiciloptilus,Australasian Bittern
566,4,Numenius madagascariensis,Eastern Curlew
566,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
566,4,Pseudomys novaehollandiae,New Holland Mouse
567,4,Botaurus poiciloptilus,Australasian Bittern
567,4,Numenius madagascariensis,Eastern Curlew
567,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
567,4,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna
568,4,Botaurus poiciloptilus,Australasian Bittern
568,4,Numenius madagascariensis,Eastern Curlew
568,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
568,4,Thymichthys politus,Red Handfish
569,4,Botaurus poiciloptilus,Australasian Bittern
569,4,Pedionomus torquatus,Plains-wanderer
569,4,Anthochaera phrygia,Regent Honeyeater
569,4,Lathamus discolor,Swift Parrot
570,4,Botaurus poiciloptilus,Australasian Bittern
570,4,Pedionomus torquatus,Plains-wanderer
570,4,Anthochaera phrygia,Regent Honeyeater
570,4,Litoria raniformis,Growling Grass Frog
571,4,Botaurus poiciloptilus,Australasian Bittern
571,4,Pedionomus torquatus,Plains-wanderer
571,4,Anthochaera phrygia,Regent Honeyeater
571,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
572,4,Botaurus poiciloptilus,Australasian Bittern
572,4,Pedionomus torquatus,Plains-wanderer
572,4,Anthochaera phrygia,Regent Honeyeater
572,4,Senecio behrianus,Stiff Groundsel
573,4,Botaurus poiciloptilus,Australasian Bittern
573,4,Pedionomus torquatus,Plains-wanderer
573,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
573,4,Lathamus discolor,Swift Parrot
574,4,Botaurus poiciloptilus,Australasian Bittern
574,4,Pedionomus torquatus,Plains-wanderer
574,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
574,4,Litoria raniformis,Growling Grass Frog
575,4,Botaurus poiciloptilus,Australasian Bittern
575,4,Leipoa ocellata,Malleefowl
575,4,Litoria raniformis,Growling Grass Frog
575,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
576,4,Botaurus poiciloptilus,Australasian Bittern
576,4,Leipoa ocellata,Malleefowl
576,4,Neophema chrysogaster,Orange-bellied Parrot
576,4,Craterocephalus fluviatilis,Murray Hardyhead
577,4,Anthochaera phrygia,Regent Honeyeater
577,4,Lathamus discolor,Swift Parrot
577,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
577,4,Pseudomys novaehollandiae,New Holland Mouse
578,4,Anthochaera phrygia,Regent Honeyeater
578,4,Lathamus discolor,Swift Parrot
578,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
578,4,Wollemia nobilis,Wollemi Pine
579,4,Anthochaera phrygia,Regent Honeyeater
579,4,Lathamus discolor,Swift Parrot
579,4,Philoria kundagungan,Mountain Frog
579,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
580,4,Anthochaera phrygia,Regent Honeyeater
580,4,Lathamus discolor,Swift Parrot
580,4,Rhodomyrtus psidioides,Native Guava
580,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
581,4,Erythrotriorchis radiatus,Red Goshawk
581,4,Anthochaera phrygia,Regent Honeyeater
581,4,Petrogale penicillata,Brush-tailed Rock-wallaby
581,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
582,4,Erythrotriorchis radiatus,Red Goshawk
582,4,Anthochaera phrygia,Regent Honeyeater
582,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
582,4,Dasyurus hallucatus,Northern Quoll
583,4,Erythrotriorchis radiatus,Red Goshawk
583,4,Anthochaera phrygia,Regent Honeyeater
583,4,Philoria kundagungan,Mountain Frog
583,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
584,4,Erythrotriorchis radiatus,Red Goshawk
584,4,Chelonia mydas,Green Turtle
584,4,Lepidochelys olivacea,Olive Ridley Turtle
584,4,Aipysurus apraefrontalis,Short-nosed Seasnake
585,4,Erythrotriorchis radiatus,Red Goshawk
585,4,Chelonia mydas,Green Turtle
585,4,Lepidochelys olivacea,Olive Ridley Turtle
585,4,Pristis pristis,Freshwater Sawfish
586,4,Erythrotriorchis radiatus,Red Goshawk
586,4,Dasyurus hallucatus,Northern Quoll
586,4,Chelonia mydas,Green Turtle
586,4,Lepidochelys olivacea,Olive Ridley Turtle
587,4,Erythrotriorchis radiatus,Red Goshawk
587,4,Dasyurus hallucatus,Northern Quoll
587,4,Chelonia mydas,Green Turtle
587,4,Pristis pristis,Freshwater Sawfish
588,4,Erythrotriorchis radiatus,Red Goshawk
588,4,Lathamus discolor,Swift Parrot
588,4,Petrogale penicillata,Brush-tailed Rock-wallaby
588,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
589,4,Botaurus poiciloptilus,Australasian Bittern
589,4,Zanda latirostris,Carnaby's Black Cockatoo
589,4,Numenius madagascariensis,Eastern Curlew
589,4,Neophoca cinerea,Australian Sea-lion
590,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
590,4,Lathamus discolor,Swift Parrot
590,4,Litoria raniformis,Growling Grass Frog
590,4,Miniopterus orianae bassanii,Southern Bent-wing Bat
591,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
591,4,Litoria raniformis,Growling Grass Frog
591,4,Miniopterus orianae bassanii,Southern Bent-wing Bat
591,4,Lachnagrostis adamsonii,Adamson's Blown-grass
592,4,Chelonia mydas,Green Turtle
592,4,Lepidochelys olivacea,Olive Ridley Turtle
592,4,Aipysurus apraefrontalis,Short-nosed Seasnake
592,4,Pristis pristis,Freshwater Sawfish
593,4,Dasyurus hallucatus,Northern Quoll
593,4,Chelonia mydas,Green Turtle
593,4,Aipysurus apraefrontalis,Short-nosed Seasnake
593,4,Pristis pristis,Freshwater Sawfish
594,4,Dasyurus hallucatus,Northern Quoll
594,4,Chelonia mydas,Green Turtle
594,4,Lepidochelys olivacea,Olive Ridley Turtle
594,4,Aipysurus apraefrontalis,Short-nosed Seasnake
595,4,Dasyurus hallucatus,Northern Quoll
595,4,Chelonia mydas,Green Turtle
595,4,Lepidochelys olivacea,Olive Ridley Turtle
595,4,Pristis pristis,Freshwater Sawfish
596,4,Erythrotriorchis radiatus,Red Goshawk
596,4,Amytornis woodwardi,White-throated Grasswren
596,4,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
596,4,Dasyurus hallucatus,Northern Quoll
597,4,Erythrotriorchis radiatus,Red Goshawk
597,4,Anthochaera phrygia,Regent Honeyeater
597,4,Lathamus discolor,Swift Parrot
597,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
598,4,Numenius madagascariensis,Eastern Curlew
598,4,Dasyurus hallucatus,Northern Quoll
598,4,Chelonia mydas,Green Turtle
598,4,Lepidochelys olivacea,Olive Ridley Turtle
599,4,Numenius madagascariensis,Eastern Curlew
599,4,Dasyurus hallucatus,Northern Quoll
599,4,Chelonia mydas,Green Turtle
599,4,Pristis pristis,Freshwater Sawfish
600,4,Numenius madagascariensis,Eastern Curlew
600,4,Erythrotriorchis radiatus,Red Goshawk
600,4,Chelonia mydas,Green Turtle
600,4,Lepidochelys olivacea,Olive Ridley Turtle
601,4,Numenius madagascariensis,Eastern Curlew
601,4,Erythrotriorchis radiatus,Red Goshawk
601,4,Dasyurus hallucatus,Northern Quoll
601,4,Chelonia mydas,Green Turtle
602,4,Erythrotriorchis radiatus,Red Goshawk
602,4,Lathamus discolor,Swift Parrot
602,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
602,4,Dasyurus hallucatus,Northern Quoll
603,4,Erythrotriorchis radiatus,Red Goshawk
603,4,Lathamus discolor,Swift Parrot
603,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
603,4,Delma torquata,Adorned Delma
604,4,Erythrotriorchis radiatus,Red Goshawk
604,4,Lathamus discolor,Swift Parrot
604,4,Rhodomyrtus psidioides,Native Guava
604,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
605,4,Erythrotriorchis radiatus,Red Goshawk
605,4,Macadamia jansenii,Bulberin Nut
605,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
605,4,Dasyurus hallucatus,Northern Quoll
606,4,Erythrotriorchis radiatus,Red Goshawk
606,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
606,4,Chelonia mydas,Green Turtle
606,4,Lepidochelys olivacea,Olive Ridley Turtle
607,4,Erythrotriorchis radiatus,Red Goshawk
607,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
607,4,Dasyurus hallucatus,Northern Quoll
607,4,Chelonia mydas,Green Turtle
608,4,Erythrotriorchis radiatus,Red Goshawk
608,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
608,4,Dasyurus hallucatus,Northern Quoll
608,4,Delma torquata,Adorned Delma
609,4,Erythrotriorchis radiatus,Red Goshawk
609,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
609,4,Dasyurus hallucatus,Northern Quoll
609,4,Dichanthium queenslandicum,King Blue-grass
610,4,Erythrotriorchis radiatus,Red Goshawk
610,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
610,4,Dasyurus hallucatus,Northern Quoll
610,4,Lepidochelys olivacea,Olive Ridley Turtle
611,4,Erythrotriorchis radiatus,Red Goshawk
611,4,Taudactylus pleione,Kroombit Tinker Frog
611,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
611,4,Dasyurus hallucatus,Northern Quoll
612,4,Erythrotriorchis radiatus,Red Goshawk
612,4,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
612,4,Chelonia mydas,Green Turtle
612,4,Lepidochelys olivacea,Olive Ridley Turtle
613,4,Erythrotriorchis radiatus,Red Goshawk
613,4,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
613,4,Dasyurus hallucatus,Northern Quoll
613,4,Bellatorias obiri,Arnhem Land Egernia
614,4,Erythrotriorchis radiatus,Red Goshawk
614,4,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
614,4,Dasyurus hallucatus,Northern Quoll
614,4,Chelonia mydas,Green Turtle
615,4,Erythrotriorchis radiatus,Red Goshawk
615,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
615,4,Dasyurus hallucatus,Northern Quoll
615,4,Pteropus conspicillatus,Spectacled Flying-fox
616,4,Erythrotriorchis radiatus,Red Goshawk
616,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
616,4,Pseudomys novaehollandiae,New Holland Mouse
616,4,Dasyurus hallucatus,Northern Quoll
617,4,Erythrotriorchis radiatus,Red Goshawk
617,4,Philoria kundagungan,Mountain Frog
617,4,Petrogale penicillata,Brush-tailed Rock-wallaby
617,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
618,4,Erythrotriorchis radiatus,Red Goshawk
618,4,Pteropus conspicillatus,Spectacled Flying-fox
618,4,Chelonia mydas,Green Turtle
618,4,Lepidochelys olivacea,Olive Ridley Turtle
619,4,Erythrotriorchis radiatus,Red Goshawk
619,4,Rhodomyrtus psidioides,Native Guava
619,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
619,4,Dasyurus hallucatus,Northern Quoll
620,4,Botaurus poiciloptilus,Australasian Bittern
620,4,Zanda latirostris,Carnaby's Black Cockatoo
620,4,Neophoca cinerea,Australian Sea-lion
620,4,Dasyurus geoffroii,Chuditch
621,4,Botaurus poiciloptilus,Australasian Bittern
621,4,Zanda latirostris,Carnaby's Black Cockatoo
621,4,Numenius madagascariensis,Eastern Curlew
621,4,Dasyurus geoffroii,Chuditch
622,4,Botaurus poiciloptilus,Australasian Bittern
622,4,Zanda latirostris,Carnaby's Black Cockatoo
622,4,Numenius madagascariensis,Eastern Curlew
622,4,Leipoa ocellata,Malleefowl
623,4,Botaurus poiciloptilus,Australasian Bittern
623,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
623,4,Leipoa ocellata,Malleefowl
623,4,Neophema chrysogaster,Orange-bellied Parrot
624,4,Botaurus poiciloptilus,Australasian Bittern
624,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
624,4,Leipoa ocellata,Malleefowl
624,4,Pedionomus torquatus,Plains-wanderer
625,4,Botaurus poiciloptilus,Australasian Bittern
625,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
625,4,Neophema chrysogaster,Orange-bellied Parrot
625,4,Anthochaera phrygia,Regent Honeyeater
626,4,Botaurus poiciloptilus,Australasian Bittern
626,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
626,4,Neophema chrysogaster,Orange-bellied Parrot
626,4,Craterocephalus fluviatilis,Murray Hardyhead
627,4,Botaurus poiciloptilus,Australasian Bittern
627,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
627,4,Neophema chrysogaster,Orange-bellied Parrot
627,4,Lathamus discolor,Swift Parrot
628,4,Botaurus poiciloptilus,Australasian Bittern
628,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
628,4,Neophema chrysogaster,Orange-bellied Parrot
628,4,Miniopterus orianae bassanii,Southern Bent-wing Bat
629,4,Botaurus poiciloptilus,Australasian Bittern
629,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
629,4,Neophema chrysogaster,Orange-bellied Parrot
629,4,Neophoca cinerea,Australian Sea-lion
630,4,Botaurus poiciloptilus,Australasian Bittern
630,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
630,4,Neophoca cinerea,Australian Sea-lion
630,4,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna
631,4,Botaurus poiciloptilus,Australasian Bittern
631,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
631,4,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna
631,4,Zephyrarchaea austini,Kangaroo Island Assassin Spider
632,4,Botaurus poiciloptilus,Australasian Bittern
632,4,Zanda latirostris,Carnaby's Black Cockatoo
632,4,Anstisia alba,White-bellied Frog
632,4,Dasyurus geoffroii,Chuditch
633,4,Botaurus poiciloptilus,Australasian Bittern
633,4,Zanda latirostris,Carnaby's Black Cockatoo
633,4,Atrichornis clamosus,Noisy Scrub-bird
633,4,Dasyurus geoffroii,Chuditch
634,4,Botaurus poiciloptilus,Australasian Bittern
634,4,Zanda latirostris,Carnaby's Black Cockatoo
634,4,Dasyurus geoffroii,Chuditch
634,4,Myrmecobius fasciatus,Numbat
635,4,Numenius madagascariensis,Eastern Curlew
635,4,Erythrotriorchis radiatus,Red Goshawk
635,4,Dasyurus hallucatus,Northern Quoll
635,4,Pristis pristis,Freshwater Sawfish
636,4,Erythrotriorchis radiatus,Red Goshawk
636,4,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
636,4,Dasyurus hallucatus,Northern Quoll
636,4,Pristis pristis,Freshwater Sawfish
637,4,Erythrotriorchis radiatus,Red Goshawk
637,4,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
637,4,Notomys aquilo,Northern Hopping-mouse
637,4,Dasyurus hallucatus,Northern Quoll
638,4,Hippocampus whitei,White's Seahorse
638,4,Chelonia mydas,Green Turtle
638,4,Lepidochelys olivacea,Olive Ridley Turtle
638,4,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population)
639,4,Lathamus discolor,Swift Parrot
639,4,Rhodomyrtus psidioides,Native Guava
639,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
639,4,Wollumbinia georgesi,Georges' Snapping Turtle
640,4,Leipoa ocellata,Malleefowl
640,4,Anthochaera phrygia,Regent Honeyeater
640,4,Lathamus discolor,Swift Parrot
640,4,Litoria raniformis,Growling Grass Frog
641,4,Leipoa ocellata,Malleefowl
641,4,Anthochaera phrygia,Regent Honeyeater
641,4,Lathamus discolor,Swift Parrot
641,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
642,4,Leipoa ocellata,Malleefowl
642,4,Anthochaera phrygia,Regent Honeyeater
642,4,Petrogale penicillata,Brush-tailed Rock-wallaby
642,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
643,4,Leipoa ocellata,Malleefowl
643,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
643,4,Lathamus discolor,Swift Parrot
643,4,Litoria raniformis,Growling Grass Frog
644,4,Leipoa ocellata,Malleefowl
644,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
644,4,Lathamus discolor,Swift Parrot
644,4,Miniopterus orianae bassanii,Southern Bent-wing Bat
645,4,Leipoa ocellata,Malleefowl
645,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
645,4,Litoria raniformis,Growling Grass Frog
645,4,Miniopterus orianae bassanii,Southern Bent-wing Bat
646,4,Leipoa ocellata,Malleefowl
646,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
646,4,Spyridium furculentum,Forked Spyridium
646,4,Litoria raniformis,Growling Grass Frog
647,4,Leipoa ocellata,Malleefowl
647,4,Lathamus discolor,Swift Parrot
647,4,Litoria raniformis,Growling Grass Frog
647,4,Lachnagrostis adamsonii,Adamson's Blown-grass
648,4,Leipoa ocellata,Malleefowl
648,4,Lathamus discolor,Swift Parrot
648,4,Litoria raniformis,Growling Grass Frog
648,4,Miniopterus orianae bassanii,Southern Bent-wing Bat
649,4,Leipoa ocellata,Malleefowl
649,4,Lathamus discolor,Swift Parrot
649,4,Litoria raniformis,Growling Grass Frog
649,4,Petrogale penicillata,Brush-tailed Rock-wallaby
650,4,Leipoa ocellata,Malleefowl
650,4,Litoria raniformis,Growling Grass Frog
650,4,Miniopterus orianae bassanii,Southern Bent-wing Bat
650,4,Lachnagrostis adamsonii,Adamson's Blown-grass
651,4,Numenius madagascariensis,Eastern Curlew
651,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
651,4,Leipoa ocellata,Malleefowl
651,4,Neophema chrysogaster,Orange-bellied Parrot
652,4,Numenius madagascariensis,Eastern Curlew
652,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
652,4,Leipoa ocellata,Malleefowl
652,4,Neophoca cinerea,Australian Sea-lion
653,4,Numenius madagascariensis,Eastern Curlew
653,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
653,4,Neophema chrysogaster,Orange-bellied Parrot
653,4,Anthochaera phrygia,Regent Honeyeater
654,4,Numenius madagascariensis,Eastern Curlew
654,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
654,4,Neophema chrysogaster,Orange-bellied Parrot
654,4,Lathamus discolor,Swift Parrot
655,4,Numenius madagascariensis,Eastern Curlew
655,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
655,4,Neophema chrysogaster,Orange-bellied Parrot
655,4,Litoria raniformis,Growling Grass Frog
656,4,Numenius madagascariensis,Eastern Curlew
656,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
656,4,Neophema chrysogaster,Orange-bellied Parrot
656,4,Neophoca cinerea,Australian Sea-lion
657,4,Numenius madagascariensis,Eastern Curlew
657,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
657,4,Neophoca cinerea,Australian Sea-lion
657,4,Prasophyllum laxum,Lax Leek Orchid
658,4,Numenius madagascariensis,Eastern Curlew
658,4,Thinornis cucullatus cucullatus,Eastern Hooded Plover
658,4,Neophoca cinerea,Australian Sea-lion
658,4,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna
659,4,Numenius madagascariensis,Eastern Curlew
659,4,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
659,4,Chelonia mydas,Green Turtle
659,4,Pristis pristis,Freshwater Sawfish
660,4,Numenius madagascariensis,Eastern Curlew
660,4,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
660,4,Dasyurus hallucatus,Northern Quoll
660,4,Chelonia mydas,Green Turtle
661,4,Numenius madagascariensis,Eastern Curlew
661,4,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
661,4,Dasyurus hallucatus,Northern Quoll
661,4,Pristis pristis,Freshwater Sawfish
662,4,Pedionomus torquatus,Plains-wanderer
662,4,Anthochaera phrygia,Regent Honeyeater
662,4,Lathamus discolor,Swift Parrot
662,4,Litoria raniformis,Growling Grass Frog
663,4,Pedionomus torquatus,Plains-wanderer
663,4,Anthochaera phrygia,Regent Honeyeater
663,4,Lathamus discolor,Swift Parrot
663,4,Paralucia pyrodiscus lucida,Eltham Copper Butterfly
664,4,Pezoporus occidentalis,Night Parrot
664,4,Pedionomus torquatus,Plains-wanderer
664,4,Acacia peuce,Waddy
664,4,Macrotis lagotis,Greater Bilby
665,4,Pezoporus occidentalis,Night Parrot
665,4,Polytelis alexandrae,Princess Parrot
665,4,Erythrotriorchis radiatus,Red Goshawk
665,4,Macrotis lagotis,Greater Bilby
666,4,Pezoporus occidentalis,Night Parrot
666,4,Polytelis alexandrae,Princess Parrot
666,4,Macrotis lagotis,Greater Bilby
666,4,Liopholis kintorei,Great Desert Skink
667,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
667,4,Dasyurus hallucatus,Northern Quoll
667,4,Chelonia mydas,Green Turtle
667,4,Lepidochelys olivacea,Olive Ridley Turtle
668,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
668,4,Dasyurus hallucatus,Northern Quoll
668,4,Dichanthium queenslandicum,King Blue-grass
668,4,Delma torquata,Adorned Delma
669,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
669,4,Hippocampus whitei,White's Seahorse
669,4,Chelonia mydas,Green Turtle
669,4,Lepidochelys olivacea,Olive Ridley Turtle
670,4,Leipoa ocellata,Malleefowl
670,4,Litoria raniformis,Growling Grass Frog
670,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
670,4,Craterocephalus fluviatilis,Murray Hardyhead
671,4,Leipoa ocellata,Malleefowl
671,4,Neophema chrysogaster,Orange-bellied Parrot
671,4,Litoria raniformis,Growling Grass Frog
671,4,Craterocephalus fluviatilis,Murray Hardyhead
672,4,Leipoa ocellata,Malleefowl
672,4,Pedionomus torquatus,Plains-wanderer
672,4,Anthochaera phrygia,Regent Honeyeater
672,4,Lathamus discolor,Swift Parrot
673,4,Leipoa ocellata,Malleefowl
673,4,Pedionomus torquatus,Plains-wanderer
673,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
673,4,Lathamus discolor,Swift Parrot
674,4,Leipoa ocellata,Malleefowl
674,4,Pedionomus torquatus,Plains-wanderer
674,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
674,4,Litoria raniformis,Growling Grass Frog
675,4,Leipoa ocellata,Malleefowl
675,4,Pedionomus torquatus,Plains-wanderer
675,4,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
675,4,Paralucia pyrodiscus lucida,Eltham Copper Butterfly
676,4,Leipoa ocellata,Malleefowl
676,4,Pedionomus torquatus,Plains-wanderer
676,4,Lathamus discolor,Swift Parrot
676,4,Litoria raniformis,Growling Grass Frog
677,4,Leipoa ocellata,Malleefowl
677,4,Pedionomus torquatus,Plains-wanderer
677,4,Litoria raniformis,Growling Grass Frog
677,4,Craterocephalus fluviatilis,Murray Hardyhead
678,4,Leipoa ocellata,Malleefowl
678,4,Pedionomus torquatus,Plains-wanderer
678,4,Litoria raniformis,Growling Grass Frog
678,4,Macrotis lagotis,Greater Bilby
679,4,Leipoa ocellata,Malleefowl
679,4,Pedionomus torquatus,Plains-wanderer
679,4,Litoria raniformis,Growling Grass Frog
679,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
680,4,Leipoa ocellata,Malleefowl
680,4,Pedionomus torquatus,Plains-wanderer
680,4,Macrotis lagotis,Greater Bilby
680,4,Myrmecobius fasciatus,Numbat
681,4,Leipoa ocellata,Malleefowl
681,4,Pedionomus torquatus,Plains-wanderer
681,4,Neophoca cinerea,Australian Sea-lion
681,4,Macrotis lagotis,Greater Bilby
682,4,Leipoa ocellata,Malleefowl
682,4,Pezoporus occidentalis,Night Parrot
682,4,Polytelis alexandrae,Princess Parrot
682,4,Macrotis lagotis,Greater Bilby
683,4,Macrotis lagotis,Greater Bilby
683,4,Chelonia mydas,Green Turtle
683,4,Lepidochelys olivacea,Olive Ridley Turtle
683,4,Pristis pristis,Freshwater Sawfish
684,4,Macrotis lagotis,Greater Bilby
684,4,Dasyurus hallucatus,Northern Quoll
684,4,Chelonia mydas,Green Turtle
684,4,Aipysurus apraefrontalis,Short-nosed Seasnake
685,4,Macrotis lagotis,Greater Bilby
685,4,Dasyurus hallucatus,Northern Quoll
685,4,Chelonia mydas,Green Turtle
685,4,Pristis pristis,Freshwater Sawfish
686,4,Manorina melanotis,Black-eared Miner
686,4,Leipoa ocellata,Malleefowl
686,4,Litoria raniformis,Growling Grass Frog
686,4,Craterocephalus fluviatilis,Murray Hardyhead
687,4,Manorina melanotis,Black-eared Miner
687,4,Leipoa ocellata,Malleefowl
687,4,Litoria raniformis,Growling Grass Frog
687,4,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
688,4,Manorina melanotis,Black-eared Miner
688,4,Leipoa ocellata,Malleefowl
688,4,Macrotis lagotis,Greater Bilby
688,4,Myrmecobius fasciatus,Numbat
689,4,Manorina melanotis,Black-eared Miner
689,4,Leipoa ocellata,Malleefowl
689,4,Pedionomus torquatus,Plains-wanderer
689,4,Litoria raniformis,Growling Grass Frog
690,4,Neophema chrysogaster,Orange-bellied Parrot
690,4,Lathamus discolor,Swift Parrot
690,4,Litoria raniformis,Growling Grass Frog
690,4,Miniopterus orianae bassanii,Southern Bent-wing Bat
691,4,Numenius madagascariensis,Eastern Curlew
691,4,Anthochaera phrygia,Regent Honeyeater
691,4,Lathamus discolor,Swift Parrot
