FID,COUNT,SCIENTIFIC,COMMON_NAM
42,2,Leipoa ocellata,Malleefowl
43,2,Botaurus poiciloptilus,Australasian Bittern
43,2,Litoria raniformis,Growling Grass Frog
44,2,Botaurus poiciloptilus,Australasian Bittern
44,2,Manorina melanotis,Black-eared Miner
45,2,Botaurus poiciloptilus,Australasian Bittern
45,2,Miniopterus orianae bassanii,Southern Bent-wing Bat
46,2,Botaurus poiciloptilus,Australasian Bittern
46,2,Neophema chrysogaster,Orange-bellied Parrot
47,2,Botaurus poiciloptilus,Australasian Bittern
47,2,Neophoca cinerea,Australian Sea-lion
48,2,Botaurus poiciloptilus,Australasian Bittern
48,2,Numenius madagascariensis,Eastern Curlew
49,2,Botaurus poiciloptilus,Australasian Bittern
49,2,Pedionomus torquatus,Plains-wanderer
50,2,Leipoa ocellata,Malleefowl
50,2,Pedionomus torquatus,Plains-wanderer
51,1,Manorina melanotis,Black-eared Miner
52,1,Miniopterus orianae bassanii,Southern Bent-wing Bat
53,1,Neophema chrysogaster,Orange-bellied Parrot
54,1,Neophoca cinerea,Australian Sea-lion
55,1,Numenius madagascariensis,Eastern Curlew
56,1,Olearia arckaringensis,Arckaringa Daisy
57,1,Pedionomus torquatus,Plains-wanderer
58,1,Pezoporus occidentalis,Night Parrot
59,1,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
60,1,Polytelis alexandrae,Princess Parrot
61,1,Pristis pristis,Freshwater Sawfish
62,1,Psephotus chrysopterygius,Golden-shouldered Parrot
63,1,Pseudophryne corroboree,Southern Corroboree Frog
64,1,Pteropus conspicillatus,Spectacled Flying-fox
65,1,Scaturiginichthys vermeilipinnis,Redfin Blue Eye
66,1,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna
67,1,Thinornis cucullatus cucullatus,Eastern Hooded Plover
68,2,Leipoa ocellata,Malleefowl
68,2,Neophoca cinerea,Australian Sea-lion
69,2,Botaurus poiciloptilus,Australasian Bittern
69,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
70,2,Botaurus poiciloptilus,Australasian Bittern
70,2,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna
71,2,Dasyurus geoffroii,Chuditch
71,2,Macrotis lagotis,Greater Bilby
72,2,Dasyurus hallucatus,Northern Quoll
72,2,Chelonia mydas,Green Turtle
73,2,Dasyurus hallucatus,Northern Quoll
73,2,Dichanthium queenslandicum,King Blue-grass
74,2,Dasyurus hallucatus,Northern Quoll
74,2,Pristis pristis,Freshwater Sawfish
75,2,Dasyurus hallucatus,Northern Quoll
75,2,Pteropus conspicillatus,Spectacled Flying-fox
76,2,Dryococelus australis,Lord Howe Island Phasmid
76,2,Chelonia mydas,Green Turtle
77,2,Erythrotriorchis radiatus,Red Goshawk
77,2,Acacia peuce,Waddy
78,2,Erythrotriorchis radiatus,Red Goshawk
78,2,Dasyurus hallucatus,Northern Quoll
79,2,Erythrotriorchis radiatus,Red Goshawk
79,2,Liopholis kintorei,Great Desert Skink
80,2,Erythrotriorchis radiatus,Red Goshawk
80,2,Macrotis lagotis,Greater Bilby
81,2,Erythrotriorchis radiatus,Red Goshawk
81,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
82,2,Leipoa ocellata,Malleefowl
82,2,Lathamus discolor,Swift Parrot
83,2,Leipoa ocellata,Malleefowl
83,2,Liopholis kintorei,Great Desert Skink
84,2,Leipoa ocellata,Malleefowl
84,2,Litoria raniformis,Growling Grass Frog
85,2,Manorina melanotis,Black-eared Miner
85,2,Pedionomus torquatus,Plains-wanderer
86,2,Neophema chrysogaster,Orange-bellied Parrot
86,2,Anthochaera phrygia,Regent Honeyeater
87,2,Neophema chrysogaster,Orange-bellied Parrot
87,2,Craterocephalus fluviatilis,Murray Hardyhead
88,2,Neophema chrysogaster,Orange-bellied Parrot
88,2,Lathamus discolor,Swift Parrot
89,2,Neophema chrysogaster,Orange-bellied Parrot
89,2,Litoria raniformis,Growling Grass Frog
90,2,Neophema chrysogaster,Orange-bellied Parrot
90,2,Miniopterus orianae bassanii,Southern Bent-wing Bat
91,2,Neophema chrysogaster,Orange-bellied Parrot
91,2,Neophoca cinerea,Australian Sea-lion
92,2,Neophema chrysogaster,Orange-bellied Parrot
92,2,Zearaja maugeana,Maugean Skate
93,2,Neophoca cinerea,Australian Sea-lion
93,2,Chelonia mydas,Green Turtle
94,2,Neophoca cinerea,Australian Sea-lion
94,2,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna
95,2,Erythrotriorchis radiatus,Red Goshawk
95,2,Pristis pristis,Freshwater Sawfish
96,2,Erythrotriorchis radiatus,Red Goshawk
96,2,Pteropus conspicillatus,Spectacled Flying-fox
97,2,Erythrotriorchis radiatus,Red Goshawk
97,2,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
98,2,Lathamus discolor,Swift Parrot
98,2,Astacopsis gouldi,Giant Freshwater Crayfish
99,2,Lathamus discolor,Swift Parrot
99,2,Burramys parvus,Mountain Pygmy-possum
100,2,Lathamus discolor,Swift Parrot
100,2,Dasyurus viverrinus,Eastern Quoll
101,2,Lathamus discolor,Swift Parrot
101,2,Galaxias fontanus,Swan Galaxias
102,2,Lathamus discolor,Swift Parrot
102,2,Gymnobelideus leadbeateri,Leadbeater's Possum
103,2,Lathamus discolor,Swift Parrot
103,2,Litoria raniformis,Growling Grass Frog
104,2,Lathamus discolor,Swift Parrot
104,2,Megascolides australis,Giant Gippsland Earthworm
105,2,Lathamus discolor,Swift Parrot
105,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
106,2,Leipoa ocellata,Malleefowl
106,2,Anthochaera phrygia,Regent Honeyeater
107,2,Leipoa ocellata,Malleefowl
107,2,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
108,2,Leipoa ocellata,Malleefowl
108,2,Chelonia mydas,Green Turtle
