FID,COUNT,LISTED_TAX,SCIENTIFIC,COMMON_NAM,Shape__Area,Shape__Length
71,2,330,Dasyurus geoffroii,"Chuditch, Western Quoll",1149131149.42969,142439.216818701
71,2,282,Macrotis lagotis,Greater Bilby,1149131149.42969,142439.216818701
72,2,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",721826517.068359,343686.47438703
72,2,1765,Chelonia mydas,Green Turtle,721826517.068359,343686.47438703
73,2,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",975303584.828125,347120.231717691
73,2,5481,Dichanthium queenslandicum,King Blue-grass,975303584.828125,347120.231717691
74,2,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",1036510525.55859,453932.42259013
74,2,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",1036510525.55859,453932.42259013
75,2,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",32569758.4902344,22835.1138583148
75,2,185,Pteropus conspicillatus,Spectacled Flying-fox,32569758.4902344,22835.1138583148
76,2,66752,Dryococelus australis,"Lord Howe Island Phasmid, Land Lobster",72864093.53125,48445.8701870889
76,2,1765,Chelonia mydas,Green Turtle,72864093.53125,48445.8701870889
77,2,942,Erythrotriorchis radiatus,Red Goshawk,842277441.539063,256575.178732118
77,2,8301,Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",842277441.539063,256575.178732118
78,2,942,Erythrotriorchis radiatus,Red Goshawk,222522974249.318,15620008.3488817
78,2,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",222522974249.318,15620008.3488817
79,2,942,Erythrotriorchis radiatus,Red Goshawk,134130353.558594,46362.1676641745
79,2,83160,Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",134130353.558594,46362.1676641745
80,2,942,Erythrotriorchis radiatus,Red Goshawk,1243099983.59961,398965.217370846
80,2,282,Macrotis lagotis,Greater Bilby,1243099983.59961,398965.217370846
81,2,942,Erythrotriorchis radiatus,Red Goshawk,1462686512.98438,444398.963526228
81,2,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",1462686512.98438,444398.963526228
82,2,934,Leipoa ocellata,Malleefowl,3513546985.98047,1111665.15932495
82,2,744,Lathamus discolor,Swift Parrot,3513546985.98047,1111665.15932495
83,2,934,Leipoa ocellata,Malleefowl,86559537145.3555,5151076.64452418
83,2,83160,Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",86559537145.3555,5151076.64452418
84,2,934,Leipoa ocellata,Malleefowl,5000036503.33984,1560377.63565712
84,2,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",5000036503.33984,1560377.63565712
85,2,449,Manorina melanotis,Black-eared Miner,303300032.179688,164643.37577916
85,2,906,Pedionomus torquatus,Plains-wanderer,303300032.179688,164643.37577916
86,2,747,Neophema chrysogaster,Orange-bellied Parrot,515483910.34375,166509.805391334
86,2,82338,Anthochaera phrygia,Regent Honeyeater,515483910.34375,166509.805391334
87,2,747,Neophema chrysogaster,Orange-bellied Parrot,37924248.3710938,24759.122264056
87,2,56791,Craterocephalus fluviatilis,Murray Hardyhead,37924248.3710938,24759.122264056
88,2,747,Neophema chrysogaster,Orange-bellied Parrot,2193631387.66406,547194.352995468
88,2,744,Lathamus discolor,Swift Parrot,2193631387.66406,547194.352995468
89,2,747,Neophema chrysogaster,Orange-bellied Parrot,75871893.2851563,49526.6515152935
89,2,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",75871893.2851563,49526.6515152935
90,2,747,Neophema chrysogaster,Orange-bellied Parrot,79309147.90625,36512.8206574983
